Reference,Name,Qty,Price (USD),Link
C1,C 10uF,1,6.04,https://www.aliexpress.com/item/1005007374509699.html
C2,C5,C6,C 0.1uF,3,,https://www.aliexpress.com/item/1005007374509699.html
D1–D79,D 1N4148W,78,3.71,https://www.aliexpress.com/item/1005006123061230.html
J1,JST Conn_01x02_Socket,1,2.55,https://www.aliexpress.com/item/1005004955655144.html
R1,R6,R7,R8,R9,R10,R11,R 10K,7,2.3,https://www.aliexpress.com/item/1005008912576822.html
R2,R3,R4,R5,R 4.7K,4,2.3,https://www.aliexpress.com/item/1005008912576822.html
SW1–SW94,Sunset Tactile Choc Switches,81,62,https://lowprokb.ca/products/sunset-tactile-choc-switches?variant=41955920248996
U1,nice!nanov2,1,26.5,https://typeractive.xyz/products/nice-nano
U2,ST7789_Module,1,6.99,https://www.aliexpress.com/item/1005009445748262.html
U3,U4,MCP23017,2,5.63,https://www.aliexpress.com/item/1005009559642041.html
SW93,SW94,RotaryEncoder_Switch,2,3.11,https://www.aliexpress.com/item/1005007644083514.html
SW95,MSK-12C02,1,2.95,https://www.aliexpress.com/item/1005009568929894.html
,Kailh Choc Stabilizers,1,5,https://lowprokb.ca/products/kailh-choc-stabilizers?variant=44424852340900
,Kalih Choc Hot Swap Sockets,81,13.48,https://www.aliexpress.com/item/1005006625852715.html
,Kalih Keycaps,81,32.60,https://lowprokb.ca/products/mbk-low-profile-pbt-blank-keycaps?variant=50462385373348
